diagnosis,Symptoms
Borderline Personality Disorder (BPD),"intense_fear_of_abandonment,unstable_relationships,impulsive_behavior,mood_swings,feelings_of_emptiness,self-harm,difficulty_controlling_anger"
Bronchitis,"cough,chest_pain,mucoid_sputum,throat_irritation,fast_heart_rate,breathlessness"
Bulimia Nervosa,"episodes_of_binge_eating,purging,fear_of_gaining_weight,distorted_body_image"
Candida Infections (Thrush),"white_patches_on_the_tongue_and_inside_of_the_mouth,redness_or_soreness,difficulty_swallowing,cracking_and_redness_at_the_corners_of_the_mouth"
Celiac Disease,"diarrhea,fatigue,weight_loss,bloating,gas,abdominal_pain,nausea,vomiting,constipation"
Charcot-Marie-Tooth Disease (CMT),"weakness_in_legs_ankles_and_feet,loss_of_muscle_bulk_in_legs_and_feet,high_foot_arches,curled_toes,difficulty_lifting_the_foot,decreased_ability_to_run,foot_drop,frequent_tripping_or_falling"
Chickenpox,"fever,loss_of_appetite,headache,tiredness_and_malaise,skin_rash_with_itchy_fluid-filled_blisters"
Chikungunya,"fever,joint_pain,muscle_pain,headache,nausea,fatigue,rash"
Chlamydia,"painful_urination,lower_abdominal_pain,vaginal_discharge_in_women,discharge_from_the_penis_in_men,painful_sexual_intercourse,bleeding_between_periods,testicular_pain_in_men"
Chronic Fatigue Syndrome,"severe_fatigue,unrefreshing_sleep,muscle_pain,headaches,sore_throat,difficulty_concentrating"
Chronic Fatigue Syndrome (CFS),"severe_fatigue_not_improved_by_rest,sleep_problems,difficulty_with_concentration_and_memory,muscle_and_joint_pain,headaches,sore_throat,swollen_lymph_nodes"
Chronic Obstructive Pulmonary Disease (COPD),"shortness_of_breath,wheezing,chest_tightness,chronic_cough,frequent_respiratory_infections,fatigue,blueness_of_lips_or_fingernail_beds"
Chronic Sinusitis,"nasal_congestion,facial_pain_and_pressure,nasal_obstruction,thick_discolored_discharge,reduced_sense_of_smell_and_taste,headache,toothache,fatigue"
Common Cold,"continuous_sneezing,shivering,chills,watering_from_eyes,cough,runny_nose,congestion"
Conjunctivitis (Pink Eye),"redness_in_one_or_both_eyes,itching,a_gritty_feeling,discharge_that_forms_a_crust_during_the_night,tearing"
Contact Dermatitis,"itching,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze"
COVID-19,"fever,dry_cough,tiredness,loss_of_taste_or_smell,difficulty_breathing,chest_pain,headache,sore_throat,congestion,runny_nose,nausea,diarrhea"
Crohn's Disease,"diarrhea,fever,fatigue,abdominal_pain_and_cramping,blood_in_stool,mouth_sores,reduced_appetite,weight_loss,perianal_disease"
Cushing's Syndrome,"weight_gain,pink_or_purple_stretch_marks,thinning_skin,easy_bruising,acne,fatigue,muscle_weakness,high_blood_pressure,bone_loss,diabetes"
Cystic Fibrosis,"persistent_cough_with_thick_mucus,wheezing,breathlessness,repeated_lung_infections,sinusitis,poor_growth,weight_gain_despite_good_appetite,frequent_greasy_bulky_stools"
Dengue Fever,"high_fever,severe_headache,pain_behind_the_eyes,severe_joint_and_muscle_pain,fatigue,nausea,vomiting,skin_rash"
Diabetes Mellitus,"excessive_hunger,increased_appetite,polyuria,weight_loss,blurred_vision,fatigue,excessive_thirst,dry_mouth"
Diverticulitis,"persistent_pain_often_in_the_lower_left_side_of_the_abdomen,nausea_and_vomiting,fever,abdominal_tenderness,constipation,diarrhea"
Duchenne Muscular Dystrophy (DMD),"progressive_muscle_weakness,frequent_falls,difficulty_rising_from_a_lying_or_sitting_position,trouble_running_and_jumping,large_calf_muscles,learning_disabilities"
Eczema,"itching,skin_rash,nodal_skin_eruptions,dischromic_patches,skin_peeling,scurring"
Ehlers-Danlos Syndrome (EDS),"hypermobile_joints,stretchy_skin,fragile_skin_that_bruises_easily,chronic_pain,scoliosis,early-onset_arthritis"
Endometriosis,"painful_periods,pain_during_intercourse,pain_with_bowel_movements_or_urination,excessive_bleeding,infertility,fatigue,diarrhea,constipation,bloating,nausea"
Epilepsy,"seizures,loss_of_awareness,staring_spells,temporary_confusion,altered_sensorium"
Fabry Disease,"pain_particularly_in_the_hands_and_feet,clusters_of_small_dark_red_spots_on_the_skin,decreased_sweating,corneal_opacity,hearing_loss,kidney_damage,heart_problems"
Fibromyalgia,"widespread_musculoskeletal_pain,fatigue,sleep_disturbances,headaches,depression"
Fungal Infections,"itching,skin_rash,nodal_skin_eruptions,dischromic_patches,skin_peeling,blisters"
Gallstones,"abdominal_pain,nausea,vomiting,yellowing_of_eyes,indigestion"
Gastroenteritis,"stomach_pain,vomiting,diarrhoea,nausea,loss_of_appetite,abdominal_pain,dehydration"
Gastroesophageal Reflux Disease (GERD),"heartburn,regurgitation_of_food_or_sour_liquid,difficulty_swallowing,chest_pain,chronic_cough,laryngitis,new_or_worsening_asthma"
Generalized Anxiety Disorder (GAD),"excessive_worry_about_various_aspects_of_life,restlessness,fatigue,difficulty_concentrating,irritability,muscle_tension,sleep_disturbances"
Giant Cell Arteritis,"headaches,scalp_tenderness,jaw_pain,vision_problems,fever,unintentional_weight_loss,fatigue"
Gonorrhea,"painful_urination,abnormal_discharge_from_the_penis_or_vagina,pain_or_swelling_in_one_testicle,increased_vaginal_bleeding,anal_itching,soreness,bleeding,painful_bowel_movements"
Gout,"intense_joint_pain,lingering_discomfort,inflammation_and_redness,limited_range_of_motion"
Graves' Disease,"anxiety_and_irritability,tremor_of_hands_or_fingers,heat_sensitivity,weight_loss,enlarged_thyroid,bulging_eyes,fatigue,thick_red_skin_on_the_shins_or_tops_of_the_feet"
Hashimoto's Thyroiditis,"fatigue,weight_gain,cold_intolerance,muscle_weakness,joint_pain_and_stiffness,constipation,dry_skin,puffy_face,hoarseness"
Heart Disease,"chest_pain,shortness_of_breath,palpitations,fatigue,dizziness,swollen_extremities"
Hemochromatosis,"joint_pain,fatigue,weakness,diabetes,loss_of_sex_drive,impotence,heart_failure,liver_failure,bronze_or_gray_skin_color"
Hemolytic Anemia,"fatigue,dizziness,paleness,shortness_of_breath,dark_urine,jaundice,fever,weakness,heart_murmur"
Hemophilia,"excessive_bleeding,easy_bruising,joint_pain,swelling,blood_in_urine"
Hepatitis,"yellowing_of_eyes,yellowish_skin,abdominal_pain,nausea,loss_of_appetite,dark_urine"
Hepatitis A,"fatigue,sudden_nausea_and_vomiting,abdominal_pain,clay-colored_bowel_movements,loss_of_appetite,low-grade_fever,dark_urine,joint_pain,jaundice"
Hepatitis B,"fatigue,sudden_nausea_and_vomiting,abdominal_pain,loss_of_appetite,low-grade_fever,dark_urine,joint_pain,jaundice"
Hepatitis C,"fatigue,sudden_nausea_and_vomiting,abdominal_pain,loss_of_appetite,low-grade_fever,dark_urine,joint_pain,jaundice"
Herpes Simplex Virus (HSV),"painful_blisters_or_ulcers_at_the_site_of_infection,itching,burning_sensation,flu-like_symptoms,swollen_lymph_nodes"
HIV/AIDS,"fever,chills,rash,night_sweats,muscle_aches,sore_throat,fatigue,swollen_lymph_nodes,mouth_ulcers"
Human Immunodeficiency Virus (HIV),"fever,chills,rash,night_sweats,muscle_aches,sore_throat,fatigue,swollen_lymph_nodes,mouth_ulcers"
Human Papillomavirus (HPV),"genital_warts,common_warts,plantar_warts,flat_warts,cervical_dysplasia"
Huntington's Disease,"involuntary_jerking_movements,muscle_problems,difficulty_with_speech_and_swallowing,cognitive_decline,depression,mood_swings"
Hyperglycemia,"frequent_urination,increased_thirst,blurred_vision,fatigue,headache,fruity-smelling_breath,nausea,vomiting,shortness_of_breath,dry_mouth,weakness,confusion"
Hyperglycemia (High Blood Sugar),"frequent_urination,increased_thirst,blurred_vision,fatigue,headache,fruity-smelling_breath,nausea,vomiting,shortness_of_breath"
Hyperparathyroidism,"fragile_bones,kidney_stones,excessive_urination,abdominal_pain,tiring_easily_or_weakness,depression_or_forgetfulness,bone_and_joint_pain,nausea,vomiting,loss_of_appetite"
Hypersensitivity Pneumonitis,"shortness_of_breath,cough,fatigue,chills,muscle_aches,loss_of_appetite,weight_loss"
Hypertension,"often_asymptomatic_but_may_include_headaches,shortness_of_breath,nosebleeds,dizziness"
Hyperthyroidism,"weight_loss,excessive_hunger,sweating,palpitations,irritability,brittle_nails,puffy_face_and_eyes"
Hypoglycemia,"shakiness,dizziness,sweating,hunger,irritability_or_moodiness,anxiety_or_nervousness,headache"
Hypoglycemia (Low Blood Sugar),"shakiness,dizziness,sweating,hunger,irritability_or_moodiness,anxiety_or_nervousness,headache"
Hypoparathyroidism,"tingling_or_burning_in_fingertips_toes_and_lips,muscle_aches_or_cramps,twitching_or_spasms_of_muscles_particularly_around_the_mouth_hands_arms_and_throat,fatigue_or_weakness,painful_menstrual_periods,patchy_hair_loss"
Hypothyroidism,"weight_gain,fatigue,cold_intolerance,dry_skin,puffy_face,hoarseness,muscle_weakness"
Influenza (Flu),"high_fever,chills,cough,sore_throat,muscle_aches,fatigue,headache,nasal_congestion,runny_nose"
Interstitial Cystitis (Painful Bladder Syndrome),"chronic_pelvic_pain,a_persistent_urgent_need_to_urinate,frequent_urination,pain_during_intercourse"
Irritable Bowel Syndrome (IBS),"abdominal_pain,cramping,bloating,gas,diarrhea,constipation,mucus_in_stool"
Klinefelter Syndrome,"low_testosterone,reduced_muscle_mass,reduced_facial_and_body_hair,enlarged_breast_tissue,tall_stature,learning_disabilities,delayed_speech_and_language_development"
Leukemia,"fever,fatigue,frequent_infections,weight_loss,swollen_lymph_nodes,easy_bleeding"
Lupus Nephritis,"foamy_urine,high_blood_pressure,swelling_in_legs_feet_or_ankles,joint_pain_and_swelling,skin_rash,fever,fatigue"
Lyme Disease,"fever,headache,fatigue,skin_rash,joint_pain,heart_palpitations,dizziness,inflammation_of_the_brain_and_spinal_cord"
Lymphoma,"swollen_lymph_nodes,fatigue,night_sweats,weight_loss,itching,fever"
Major Depressive Disorder,"persistent_sadness,loss_of_interest_in_activities,changes_in_appetite,changes_in_sleep_patterns,fatigue,feelings_of_worthlessness,difficulty_concentrating"
Malaria,"fever,chills,headache,nausea,vomiting,muscle_pain,fatigue,sweating"
Marfan Syndrome,"tall_and_slender_build,disproportionately_long_arms_legs_fingers_and_toes,heart_murmurs,extreme_nearsightedness,abnormally_curved_spine,flat_feet"
Measles,"high_fever,dry_cough,runny_nose,sore_throat,inflamed_eyes,tiny_white_spots_inside_the_mouth,skin_rash"
Meningitis,"stiff_neck,high_fever,headache,vomiting,altered_sensorium,sensitivity_to_light"
Migraine,"headache,dizziness,nausea,sensitivity_to_light,visual_disturbances"
Motor Neurone Disease (MND),"progressive_muscle_weakness,slurred_speech,difficulty_swallowing,muscle_cramps_and_twitches,weight_loss"
Multiple Sclerosis,"numbness_or_weakness_in_limbs,partial_or_complete_loss_of_vision,double_vision,tingling_or_pain,electric-shock_sensations,tremor,lack_of_coordination,unsteady_gait,fatigue"
Mumps,"swollen_salivary_glands,fever,headache,muscle_aches,tiredness,loss_of_appetite"
Muscle Strain,"muscle_pain,weakness,swelling,limited_range_of_motion,muscle_spasms"
Myasthenia Gravis,"muscle_weakness,drooping_of_one_or_both_eyelids,double_vision,difficulty_swallowing,shortness_of_breath,altered_speech,facial_muscle_weakness"
Myelodysplastic Syndromes (MDS),"fatigue,shortness_of_breath,unusual_paleness_due_to_anemia,easy_or_unusual_bruising_or_bleeding,frequent_infections"
Myocardial Infarction,"chest_pain,shortness_of_breath,sweating,nausea,lightheadedness,pain_in_arms_or_back"
Obsessive-Compulsive Disorder (OCD),"recurrent_unwanted_thoughts,repetitive_behaviors,anxiety,distress,ritualistic_behaviors"
Osteoarthritis,"joint_pain,stiffness,reduced_flexibility,bone_spurs,swelling"
Otitis Media (Middle Ear Infection),"ear_pain,fever,fluid_drainage_from_the_ear,hearing_loss,irritability_in_children,difficulty_sleeping"
Pancreatitis,"upper_abdominal_pain,abdominal_pain_that_radiates_to_the_back,tenderness_when_touching_the_abdomen,fever,rapid_pulse,nausea,vomiting"
Panic Disorder,"recurrent_panic_attacks,sudden_intense_fear,palpitations,sweating,trembling,shortness_of_breath,chest_pain,nausea,dizziness,fear_of_losing_control"
Parkinson's Disease,"tremor,slowed_movement,rigid_muscles,impaired_posture_and_balance,loss_of_automatic_movements,speech_changes,writing_changes"
Peptic Ulcer Disease,"burning_stomach_pain,bloating,heartburn,nausea,intolerance_to_fatty_foods"
Peptic Ulcers,"stomach_pain,nausea,vomiting,loss_of_appetite,indigestion,internal_itching"
Phenylketonuria (PKU),"intellectual_disability,delayed_development,behavioral_problems,psychiatric_disorders,musty_odor_in_breath_skin_or_urine,eczema,fair_skin_and_blue_eyes"
Pheochromocytoma,"high_blood_pressure,headache,sweating,rapid_heartbeat,tremors,shortness_of_breath,panic_attack-type_symptoms"
Pneumonia,"cough,chest_pain,high_fever,chills,rusty_sputum,breathlessness"
Polycystic Ovary Syndrome (PCOS),"irregular_periods,excess_androgen,polycystic_ovaries,weight_gain,thinning_hair,acne,fertility_issues"
Post-Traumatic Stress Disorder (PTSD),"flashbacks,nightmares,severe_anxiety,uncontrollable_thoughts_about_the_traumatic_event,emotional_numbness,irritability"
Primary Biliary Cholangitis (PBC),"fatigue,itchy_skin,dry_eyes_and_mouth,pain_in_the_upper_right_abdomen,swelling_of_the_feet_and_ankles,fluid_buildup_in_the_abdomen,yellowing_of_the_skin_and_eyes"
Psoriasis,"red_scaly_skin,skin_rash,dischromic_patches,nodal_skin_eruptions,silver_like_dusting,small_dents_in_nails,inflammatory_nails,scurring"
Psoriatic Arthritis,"joint_pain,stiffness,swelling,swollen_fingers_and_toes,foot_pain,lower_back_pain,nail_changes"
Raynaud's Phenomenon,"color_changes_in_the_skin_in_response_to_cold_or_stress,numbness,tingling,pain_in_fingers_and_toes"
Rheumatic Fever,"fever,painful_and_tender_joints,red_hot_or_swollen_joints,small_painless_nodules_beneath_the_skin,chest_pain,heart_murmur,fatigue,flat_or_slightly_raised_painless_rash_with_a_ragged_edge"
Rheumatoid Arthritis,"joint_pain,swelling,stiffness,fatigue,fever,loss_of_appetite"
Rubella (German Measles),"mild_fever,headache,stuffy_or_runny_nose,inflamed_red_eyes,enlarged_tender_lymph_nodes,fine_pink_rash,aching_joints"
Sarcoidosis,"fatigue,fever,swollen_lymph_nodes,weight_loss,persistent_dry_cough,shortness_of_breath,chest_pain,skin_lesions"
Schizophrenia,"hallucinations,delusions,disorganized_thinking,abnormal_motor_behavior,negative_symptoms"
Scleroderma,"tightening_and_hardening_of_the_skin,raynaud's_phenomenon,heartburn,difficulty_swallowing,shortness_of_breath,joint_pain"
Seasonal Affective Disorder (SAD),"depression_that_occurs_at_the_same_time_each_year,typically_in_winter,low_energy,hypersomnia,overeating,weight_gain,social_withdrawal"
Sinusitis,"sinus_pressure,runny_nose,congestion,headache,throat_irritation"
Sjogren's Syndrome,"dry_eyes,dry_mouth,joint_pain,swelling,fatigue,persistent_dry_cough,skin_rashes,vaginal_dryness"
Sleep Apnea,"loud_snoring,episodes_of_breathing_cessation_during_sleep,abrupt_awakenings_with_gasping_or_choking,morning_headache,difficulty_staying_asleep,excessive_daytime_sleepiness,irritability"
Social Anxiety Disorder,"intense_fear_of_social_situations,avoidance_of_social_interactions,fear_of_being_judged,excessive_self-consciousness,physical_symptoms"
Stroke,"sudden_numbness_or_weakness,confusion,trouble_speaking,dizziness,loss_of_balance,weakness_of_one_body_side"
Syphilis,"painless_sores_on_the_genitals_rectum_or_mouth,rash,swollen_lymph_nodes,fever,sore_throat,muscle_aches,fatigue,weight_loss,headache"
Systemic Lupus Erythematosus,"fatigue,joint_pain,fever,rash,swollen_lymph_nodes,malaise"
Systemic Lupus Erythematosus (SLE),"fatigue,fever,joint_pain,skin_rashes,photosensitivity,mouth_ulcers,raynaud's_phenomenon,chest_pain"
Systemic Scleroderma,"hardened_or_tightened_patches_of_skin,swollen_fingers_and_hands,raynaud's_phenomenon,acid_reflux,difficulty_swallowing,joint_pain,shortness_of_breath"
Takayasu's Arteritis,"fatigue,unintended_weight_loss,muscle_and_joint_pain,fever,night_sweats,weak_pulse,high_blood_pressure,chest_pain"
Trichomoniasis,"frothy_greenish-yellow_vaginal_discharge,strong_vaginal_odor,vaginal_itching_or_irritation,discomfort_during_intercourse,painful_urination"
Tuberculosis,"chronic_cough,blood_in_sputum,chest_pain,fatigue,weight_loss,fever,night_sweats,loss_of_appetite"
Turner Syndrome,"short_stature,webbed_neck,low-set_ears,low_hairline_at_the_back_of_the_neck,swelling_of_hands_and_feet,cardiac_defects,infertility"
Typhoid Fever,"high_fever,headache,stomach_pain,constipation_or_diarrhea,rose-colored_spots_on_the_body"
Ulcerative Colitis,"diarrhea,often_with_blood_or_pus,abdominal_pain_and_cramping,rectal_pain,rectal_bleeding,urgency_to_defecate,inability_to_defecate_despite_urgency,weight_loss,fatigue,fever"
Urinary Tract Infection (UTI),"strong_persistent_urge_to_urinate,burning_sensation_when_urinating,passing_frequent_small_amounts_of_urine,cloudy_urine,strong-smelling_urine,pelvic_pain"
Vasculitis,"fever,headache,fatigue,weight_loss,muscle_and_joint_pain,numbness_or_weakness_in_a_hand_or_foot,rash"
Vertigo,"spinning_sensation,dizziness,balance_problems,nausea,vomiting,headache,sweating"
Wegener's Granulomatosis (Granulomatosis with Polyangiitis),"sinus_pain_and_drainage,nasal_or_oral_ulcers,cough,shortness_of_breath,kidney_issues,joint_pain,rashes,fever,weight_loss"
Wilson's Disease,"fatigue,lack_of_appetite,abdominal_pain,jaundice,golden-brown_eye_discoloration,fluid_buildup_in_legs_and_abdomen,uncontrolled_movements,muscle_stiffness,speech_problems"
Zika Virus,"fever,rash,headache,joint_pain,conjunctivitis,muscle_pain"
Duchenne Muscular Dystrophy (DMD),"progressive_muscle_weakness,frequent_falls,difficulty_rising_from_a_lying_or_sitting_position,trouble_running_and_jumping,large_calf_muscles,learning_disabilities"
Becker Muscular Dystrophy (BMD),"muscle_weakness,delayed_motor_development,difficulty_walking,frequent_falls,muscle_cramps,enlarged_calves"
Charcot-Marie-Tooth Disease (CMT),"weakness_in_legs_ankles_and_feet,loss_of_muscle_bulk_in_legs_and_feet,high_foot_arches,curled_toes,difficulty_lifting_the_foot,decreased_ability_to_run,foot_drop,frequent_tripping_or_falling"
Friedreich's Ataxia,"difficulty_walking,poor_coordination,scoliosis,heart_disease,vision_impairment,hearing_loss,diabetes"
Spinal Muscular Atrophy (SMA),"muscle_weakness,lack_of_motor_development,loss_of_motor_skills,poor_muscle_tone,twitching,difficulty_breathing_and_swallowing"
Guillain-Barré Syndrome (GBS),"weakness_and_tingling_in_extremities,unsteady_walking,difficulty_with_facial_movements,double_vision,difficulty_speaking,difficulty_breathing,severe_pain"
Peripheral Neuropathy,"gradual_onset_of_numbness,tingling,sharp_or_jabbing_pain,sensitivity_to_touch,muscle_weakness,lack_of_coordination,paralysis"
Amyloidosis,"severe_fatigue,swelling_in_ankles_and_legs,shortness_of_breath,numbness_or_tingling,diarrhea_or_constipation,weight_loss,skin_changes"
Hemolytic Uremic Syndrome (HUS),"bloody_diarrhea,abdominal_pain,vomiting,low_urine_output,fatigue,unexplained_bruises,nosebleeds,pale_skin"
Thalassemia,"fatigue,weakness,pale_skin,slow_growth,abdominal_swelling,dark_urine,facial_bone_deformities"
Sickle Cell Disease,"anemia,episodes_of_pain,swelling_of_hands_and_feet,frequent_infections,delayed_growth,vision_problems"
Gaucher Disease,"enlarged_spleen_and_liver,severe_fatigue,anemia,bruising_and_bleeding,bone_pain_and_fractures"
Pompe Disease,"muscle_weakness,breathing_problems,enlarged_liver,heart_problems,difficulty_feeding_and_swallowing,poor_weight_gain"
Hunter Syndrome (Mucopolysaccharidosis Type II),"distinct_facial_features,enlarged_head,frequent_upper_respiratory_infections,sleep_apnea,joint_stiffness,hearing_loss,heart_problems"
Hurler Syndrome (Mucopolysaccharidosis Type I),"developmental_delay,coarse_facial_features,joint_stiffness,enlarged_liver_and_spleen,heart_disease,corneal_clouding"
Tay-Sachs Disease,"loss_of_motor_skills,increased_startle_response,seizures,vision_and_hearing_loss,muscle_weakness,movement_issues"
Canavan Disease,"developmental_delay,muscle_weakness,poor_head_control,abnormal_muscle_tone,large_head,blindness,seizures"
Lesch-Nyhan Syndrome,"self-mutilation_behaviors,muscle_rigidity,involuntary_movements,kidney_stones,gout,delayed_motor_development"
Krabbe Disease,"irritability,muscle_weakness,feeding_difficulties,episodes_of_fever_without_infection,stiff_posture,slowed_development"
Metachromatic Leukodystrophy,"muscle_wasting_and_weakness,vision_loss,hearing_loss,seizures,developmental_delays,behavior_changes"
Adrenoleukodystrophy (ALD),"progressive_loss_of_neurological_functions,hyperactivity,visual_disturbances,hearing_loss,seizures,adrenal_gland_dysfunction"
Alexander Disease,"enlarged_head,seizures,stiffness_in_arms_and_legs,intellectual_disability,developmental_delays,difficulty_swallowing"
Rett Syndrome,"slowed_growth,loss_of_normal_movement_and_coordination,loss_of_communication_abilities,abnormal_hand_movements,breathing_problems"
Angelman Syndrome,"developmental_delays,intellectual_disability,severe_speech_impairment,movement_and_balance_issues,happy_demeanor,frequent_laughter"
Prader-Willi Syndrome,"poor_muscle_tone,feeding_difficulties,delayed_development,insatiable_appetite,obesity,intellectual_disability,behavior_problems"
Noonan Syndrome,"unusual_facial_characteristics,short_stature,heart_defects,bleeding_problems,skeletal_malformations,learning_difficulties"
Williams Syndrome,"distinct_facial_features,cardiovascular_problems,developmental_delays,learning_disabilities,outgoing_personality"
Huntington's Disease,"involuntary_jerking_movements,muscle_problems,difficulty_with_speech_and_swallowing,cognitive_decline,depression,mood_swings"
Treacher Collins Syndrome,"downward-slanting_eyes,notch_in_the_lower_eyelids,underdeveloped_or_absent_cheekbones,small_jaw_and_chin,malformed_ears,hearing_loss"
Cri du Chat Syndrome,"high-pitched_cat-like_cry,intellectual_disability,delayed_development,microcephaly,low_birth_weight,weak_muscle_tone,distinctive_facial_features"
Niemann-Pick Disease,"difficulty_moving_limbs,enlarged_liver_and_spleen,jaundice,lung_disease,intellectual_decline,progressive_loss_of_motor_skills"
Tay-Sachs Disease,"loss_of_motor_skills,increased_startle_response,seizures,vision_and_hearing_loss,muscle_weakness,movement_issues"
Canavan Disease,"developmental_delay,muscle_weakness,poor_head_control,abnormal_muscle_tone,large_head,blindness,seizures"
Maple Syrup Urine Disease,"sweet-smelling_urine,poor_feeding,vomiting,lack_of_energy,developmental_delays,seizures"
Zellweger Syndrome,"poor_muscle_tone,feeding_problems,seizures,hearing_loss,vision_loss,distinctive_facial_features,liver_dysfunction"
Cockayne Syndrome,"growth_failure,small_head_size,developmental_delays,photosensitivity,vision_and_hearing_loss,premature_aging"
Progeria,"growth_failure,aged-looking_skin,loss_of_body_fat_and_hair,stiffness_of_joints,hip_dislocation,cardiovascular_disease"
Bloom Syndrome,"short_stature,sun-sensitive_skin_changes,increased_risk_of_cancer,chronic_lung_problems,diabetes"
Werner Syndrome,"premature_aging,short_stature,cataracts,skin_changes,diabetes,osteoporosis,increased_cancer_risk"
Fanconi Anemia,"bone_marrow_failure,physical_abnormalities,short_stature,skin_discoloration,increased_cancer_risk,developmental_delays"
Lesch-Nyhan Syndrome,"self-mutilation_behaviors,muscle_rigidity,involuntary_movements,kidney_stones,gout,delayed_motor_development"
Alkaptonuria,"dark_urine,arthritis,darkened_earwax,dark_spots_on_the_sclera,heart_valve_issues,kidney_stones"
Porphyria,"severe_abdominal_pain,vomiting,sensitivity_to_light,reddish-brown_urine,muscle_weakness,seizures,mental_disturbances"
Fabry Disease,"pain,particularly_in_the_hands_and_feet,clusters_of_small_dark_red_spots_on_the_skin,decreased_sweating,corneal_opacity,hearing_loss,kidney_damage,heart_problems"
Gaucher Disease,"enlarged_spleen_and_liver,severe_fatigue,anemia,bruising_and_bleeding,bone_pain_and_fractures"
Hurler Syndrome,"developmental_delay,coarse_facial_features,joint_stiffness,enlarged_liver_and_spleen,heart_disease,corneal_clouding"
Hunter Syndrome,"distinct_facial_features,enlarged_head,frequent_upper_respiratory_infections,sleep_apnea,joint_stiffness,hearing_loss,heart_problems"
Krabbe Disease,"irritability,muscle_weakness,feeding_difficulties,episodes_of_fever_without_infection,stiff_posture,slowed_development"
Metachromatic Leukodystrophy,"muscle_wasting_and_weakness,vision_loss,hearing_loss,seizures,developmental_delays,behavior_changes"
Adrenoleukodystrophy (ALD),"progressive_loss_of_neurological_functions,hyperactivity,visual_disturbances,hearing_loss,seizures,adrenal_gland_dysfunction"
Alexander Disease,"enlarged_head,seizures,stiffness_in_arms_and_legs,intellectual_disability,developmental_delays,difficulty_swallowing"
Rett Syndrome,"slowed_growth,loss_of_normal_movement_and_coordination,loss_of_communication_abilities,abnormal_hand_movements,breathing_problems"
Angelman Syndrome,"developmental_delays,intellectual_disability,severe_speech_impairment,movement_and_balance_issues,happy_demeanor,frequent_laughter"
Prader-Willi Syndrome,"poor_muscle_tone,feeding_difficulties,delayed_development,insatiable_appetite,obesity,intellectual_disability,behavior_problems"
Noonan Syndrome,"unusual_facial_characteristics,short_stature,heart_defects,bleeding_problems,skeletal_malformations,learning_difficulties"
Williams Syndrome,"distinct_facial_features,cardiovascular_problems,developmental_delays,learning_disabilities,outgoing_personality"
Huntington's Disease,"involuntary_jerking_movements,muscle_problems,difficulty_with_speech_and_swallowing,cognitive_decline,depression,mood_swings"
Tuberous Sclerosis Complex (TSC),"seizures,developmental_delay,behavioral_problems,skin_abnormalities,lung_and_kidney_disease,benign_tumors_in_various_organs"
von Hippel-Lindau Disease,"tumors_and_cysts_throughout_the_body,headaches,balance_problems,hypertension,vision_problems,dizziness"
Neurofibromatosis Type 1 (NF1),"cafe-au-lait_spots,neurofibromas,bone_deformities,learning_disabilities,vision_problems"
Neurofibromatosis Type 2 (NF2),"hearing_loss,ringing_in_the_ears,balance_issues,cataracts,skin_flaps_or_bumps"
Schwannomatosis,"chronic_pain,numbness,muscle_weakness,tumors_in_the_nervous_system"
